",""Ano"",""UF"",""Município"",""Região"",""Código Programa"",""Programa Fomento"",""IES"",""Status Jurídico"",""Programa"",""Área Avaliação"",""Área Conhecimento"",""Grande Área"",""Codigo IES"",""Coordenador Geral IsF"",""Coordenador Pedagógico IsF"",""DOUTORADO PLENO"",""Iniciação Científica"",""JOVENS TALENTOS - A"",""JOVENS TALENTOS - B"",""MESTRADO"",""MESTRADO PROFISSIONAL"",""PESQUISADOR VISITANTE ESPECIAL"",""PROF VISITANTE NACIONAL SÊNIOR"",""PROFESSOR VISITANTE EXTERIOR PLENO"",""PROFESSOR VISITANTE EXTERIOR SENIOR"",""Professor IsF"",""PÓS-DOUTORADO"",""Total Linha"""
"4939,2018,""PR"",""LONDRINA"",""SUL"",""40002012039P3"",""PNPD"",""UEL"",""Estadual"",""QUÍMICA - UEL - UNICENTRO - UEPG"",""INDEFINIDA"",""QUÍMICA"",""CIÊNCIAS EXATAS E DA TERRA"",""40002012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4940,2018,""PR"",""LONDRINA"",""SUL"",""40002012039P3"",""PRÓ-FORENSES"",""UEL"",""Estadual"",""QUÍMICA - UEL - UNICENTRO - UEPG"",""INDEFINIDA"",""QUÍMICA"",""CIÊNCIAS EXATAS E DA TERRA"",""40002012"",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2"
"4941,2018,""PR"",""LONDRINA"",""SUL"",""40002012040P1"",""ARAUCÁRIA"",""UEL"",""Estadual"",""ADMINISTRAÇÃO"",""INDEFINIDA"",""ADMINISTRAÇÃO"",""CIÊNCIAS SOCIAIS APLICADAS"",""40002012"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"4942,2018,""PR"",""LONDRINA"",""SUL"",""40002012040P1"",""DS"",""UEL"",""Estadual"",""ADMINISTRAÇÃO"",""INDEFINIDA"",""ADMINISTRAÇÃO"",""CIÊNCIAS SOCIAIS APLICADAS"",""40002012"",0,0,0,0,0,0,11,0,0,0,0,0,0,0,11"
"4943,2018,""PR"",""LONDRINA"",""SUL"",""40002012040P1"",""PNPD"",""UEL"",""Estadual"",""ADMINISTRAÇÃO"",""INDEFINIDA"",""ADMINISTRAÇÃO"",""CIÊNCIAS SOCIAIS APLICADAS"",""40002012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4944,2018,""PR"",""LONDRINA"",""SUL"",""40002012041P8"",""DS"",""UEL"",""Estadual"",""Bioenergia - UEL - UEM - UEPG - UNICENTRO - UNIOESTE - UFPR"",""INDEFINIDA"",""INTERDISCIPLINAR"",""MULTIDISCIPLINAR"",""40002012"",0,0,0,0,0,0,8,0,0,0,0,0,0,0,8"
"4945,2018,""PR"",""LONDRINA"",""SUL"",""40002012041P8"",""PNPD"",""UEL"",""Estadual"",""Bioenergia - UEL - UEM - UEPG - UNICENTRO - UNIOESTE - UFPR"",""INDEFINIDA"",""INTERDISCIPLINAR"",""MULTIDISCIPLINAR"",""40002012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4946,2018,""PR"",""LONDRINA"",""SUL"",""40002012042P4"",""ARAUCÁRIA"",""UEL"",""Estadual"",""CIÊNCIAS DA REABILITAÇÃO"",""INDEFINIDA"",""FISIOTERAPIA E TERAPIA OCUPACIONAL"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,6,0,0,0,3,0,0,0,0,0,0,0,9"
"4947,2018,""PR"",""LONDRINA"",""SUL"",""40002012042P4"",""DS"",""UEL"",""Estadual"",""CIÊNCIAS DA REABILITAÇÃO"",""INDEFINIDA"",""FISIOTERAPIA E TERAPIA OCUPACIONAL"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,6,0,0,0,6,0,0,0,0,0,0,0,12"
"4948,2018,""PR"",""LONDRINA"",""SUL"",""40002012042P4"",""PNPD"",""UEL"",""Estadual"",""CIÊNCIAS DA REABILITAÇÃO"",""INDEFINIDA"",""FISIOTERAPIA E TERAPIA OCUPACIONAL"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4949,2018,""PR"",""LONDRINA"",""SUL"",""40002012042P4"",""PROSUP"",""UNOPAR"",""Privada"",""CIÊNCIAS DA REABILITAÇÃO"",""INDEFINIDA"",""FISIOTERAPIA E TERAPIA OCUPACIONAL"",""CIÊNCIAS DA SAÚDE"",""40024016"",0,0,1,0,0,0,6,0,0,0,0,0,0,0,7"
"4950,2018,""PR"",""LONDRINA"",""SUL"",""40002012043P0"",""ARAUCÁRIA"",""UEL"",""Estadual"",""Odontologia"",""INDEFINIDA"",""ODONTOLOGIA"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"4951,2018,""PR"",""LONDRINA"",""SUL"",""40002012043P0"",""DS"",""UEL"",""Estadual"",""Odontologia"",""INDEFINIDA"",""ODONTOLOGIA"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,0,0,0,0,4,0,0,0,0,0,0,0,4"
"4952,2018,""PR"",""LONDRINA"",""SUL"",""40002012045P3"",""ARAUCÁRIA"",""UEL"",""Estadual"",""Filosofia"",""INDEFINIDA"",""FILOSOFIA"",""CIÊNCIAS HUMANAS"",""40002012"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"4953,2018,""PR"",""LONDRINA"",""SUL"",""40002012045P3"",""DS"",""UEL"",""Estadual"",""Filosofia"",""INDEFINIDA"",""FILOSOFIA"",""CIÊNCIAS HUMANAS"",""40002012"",0,0,0,0,0,0,8,0,0,0,0,0,0,0,8"
"4954,2018,""PR"",""LONDRINA"",""SUL"",""40002012045P3"",""PNPD"",""UEL"",""Estadual"",""Filosofia"",""INDEFINIDA"",""FILOSOFIA"",""CIÊNCIAS HUMANAS"",""40002012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4955,2018,""PR"",""LONDRINA"",""SUL"",""40002012045P3"",""PREMIO"",""UEL"",""Estadual"",""Filosofia"",""INDEFINIDA"",""FILOSOFIA"",""CIÊNCIAS HUMANAS"",""40002012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4956,2018,""PR"",""LONDRINA"",""SUL"",""40002012046P0"",""ARAUCÁRIA"",""UEL"",""Estadual"",""Ciências da Saúde"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,5,0,0,0,1,0,0,0,0,0,0,0,6"
"4957,2018,""PR"",""LONDRINA"",""SUL"",""40002012046P0"",""DS"",""UEL"",""Estadual"",""Ciências da Saúde"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,12,0,0,0,9,0,0,0,0,0,0,0,21"
"4958,2018,""PR"",""LONDRINA"",""SUL"",""40002012046P0"",""PNPD"",""UEL"",""Estadual"",""Ciências da Saúde"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4959,2018,""PR"",""LONDRINA"",""SUL"",""40002012047P6"",""ARAUCÁRIA"",""UEL"",""Estadual"",""Enfermagem"",""INDEFINIDA"",""ENFERMAGEM"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3"
"4960,2018,""PR"",""LONDRINA"",""SUL"",""40002012047P6"",""DS"",""UEL"",""Estadual"",""Enfermagem"",""INDEFINIDA"",""ENFERMAGEM"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,4,0,0,0,5,0,0,0,0,0,0,0,9"
"4961,2018,""PR"",""LONDRINA"",""SUL"",""40002012047P6"",""PNPD"",""UEL"",""Estadual"",""Enfermagem"",""INDEFINIDA"",""ENFERMAGEM"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4962,2018,""PR"",""LONDRINA"",""SUL"",""40002012048P2"",""ARAUCÁRIA"",""UEL"",""Estadual"",""Ciência da Informação"",""INDEFINIDA"",""CIÊNCIA DA INFORMAÇÃO"",""CIÊNCIAS SOCIAIS APLICADAS"",""40002012"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"4963,2018,""PR"",""LONDRINA"",""SUL"",""40002012048P2"",""DS"",""UEL"",""Estadual"",""Ciência da Informação"",""INDEFINIDA"",""CIÊNCIA DA INFORMAÇÃO"",""CIÊNCIAS SOCIAIS APLICADAS"",""40002012"",0,0,0,0,0,0,4,0,0,0,0,0,0,0,4"
"4964,2018,""PR"",""LONDRINA"",""SUL"",""40002012048P2"",""PNPD"",""UEL"",""Estadual"",""Ciência da Informação"",""INDEFINIDA"",""CIÊNCIA DA INFORMAÇÃO"",""CIÊNCIAS SOCIAIS APLICADAS"",""40002012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4965,2018,""PR"",""LONDRINA"",""SUL"",""40002012170P2"",""ARAUCÁRIA"",""UEL"",""Estadual"",""FISIOPATOLOGIA CLÍNICA E LABORATORIAL"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3"
"4966,2018,""PR"",""LONDRINA"",""SUL"",""40002012170P2"",""DS"",""UEL"",""Estadual"",""FISIOPATOLOGIA CLÍNICA E LABORATORIAL"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"4967,2018,""PR"",""LONDRINA"",""SUL"",""40002012171P9"",""ARAUCÁRIA"",""UEL"",""Estadual"",""ENGENHARIA ELETRICA"",""INDEFINIDA"",""ENGENHARIA ELÉTRICA"",""ENGENHARIAS"",""40002012"",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2"
"4968,2018,""PR"",""LONDRINA"",""SUL"",""40002012171P9"",""DS"",""UEL"",""Estadual"",""ENGENHARIA ELETRICA"",""INDEFINIDA"",""ENGENHARIA ELÉTRICA"",""ENGENHARIAS"",""40002012"",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2"
"4969,2018,""PR"",""LONDRINA"",""SUL"",""40002012172P5"",""ARAUCÁRIA"",""UEL"",""Estadual"",""CIÊNCIAS FARMACÊUTICAS"",""INDEFINIDA"",""FARMÁCIA"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1"
"4970,2018,""PR"",""LONDRINA"",""SUL"",""40002012172P5"",""DS"",""UEL"",""Estadual"",""CIÊNCIAS FARMACÊUTICAS"",""INDEFINIDA"",""FARMÁCIA"",""CIÊNCIAS DA SAÚDE"",""40002012"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"4971,2018,""PR"",""LONDRINA"",""SUL"",""40002012173P1"",""DS"",""UEL"",""Estadual"",""PSICOLOGIA"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""40002012"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"4972,2018,""PR"",""LONDRINA"",""SUL"",""40004015037P3"",""ARAUCÁRIA"",""UEL"",""Estadual"",""Arquitetura e Urbanismo"",""INDEFINIDA"",""ARQUITETURA E URBANISMO"",""CIÊNCIAS SOCIAIS APLICADAS"",""40002012"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"4973,2018,""PR"",""LONDRINA"",""SUL"",""40004015037P3"",""DS"",""UEL"",""Estadual"",""Arquitetura e Urbanismo"",""INDEFINIDA"",""ARQUITETURA E URBANISMO"",""CIÊNCIAS SOCIAIS APLICADAS"",""40002012"",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3"
"4974,2018,""PR"",""LONDRINA"",""SUL"",""40024016001P2"",""PNPD"",""UNOPAR"",""Privada"",""ODONTOLOGIA"",""INDEFINIDA"",""ODONTOLOGIA"",""CIÊNCIAS DA SAÚDE"",""40024016"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4975,2018,""PR"",""LONDRINA"",""SUL"",""40024016001P2"",""PROSUP"",""UNOPAR"",""Privada"",""ODONTOLOGIA"",""INDEFINIDA"",""ODONTOLOGIA"",""CIÊNCIAS DA SAÚDE"",""40024016"",0,0,5,0,0,0,11,0,0,0,0,0,0,0,16"
"4976,2018,""PR"",""LONDRINA"",""SUL"",""40024016002P9"",""PNPD"",""UNOPAR"",""Privada"",""CIÊNCIA E TECNOLOGIA DE LEITE E DERIVADOS"",""INDEFINIDA"",""CIÊNCIA E TECNOLOGIA DE ALIMENTOS"",""CIÊNCIAS AGRÁRIAS"",""40024016"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4977,2018,""PR"",""LONDRINA"",""SUL"",""40024016002P9"",""PROSUP"",""UNOPAR"",""Privada"",""CIÊNCIA E TECNOLOGIA DE LEITE E DERIVADOS"",""INDEFINIDA"",""CIÊNCIA E TECNOLOGIA DE ALIMENTOS"",""CIÊNCIAS AGRÁRIAS"",""40024016"",0,0,0,0,0,0,12,0,0,0,0,0,0,0,12"
"4978,2018,""PR"",""LONDRINA"",""SUL"",""40024016003P5"",""PNPD"",""UNOPAR"",""Privada"",""Saúde e Produção Animal"",""INDEFINIDA"",""MEDICINA VETERINÁRIA"",""CIÊNCIAS AGRÁRIAS"",""40024016"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4979,2018,""PR"",""LONDRINA"",""SUL"",""40024016003P5"",""PROSUP"",""UNOPAR"",""Privada"",""Saúde e Produção Animal"",""INDEFINIDA"",""MEDICINA VETERINÁRIA"",""CIÊNCIAS AGRÁRIAS"",""40024016"",0,0,0,0,0,0,5,0,0,0,0,0,0,0,5"
"4980,2018,""PR"",""LONDRINA"",""SUL"",""40024016005P8"",""PNPD"",""UNOPAR"",""Privada"",""Metodologias para o Ensino de Linguagens e suas Tecnologias"",""INDEFINIDA"",""ENSINO"",""MULTIDISCIPLINAR"",""40024016"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4981,2018,""PR"",""LONDRINA"",""SUL"",""40024016005P8"",""PROSUP"",""UNOPAR"",""Privada"",""Metodologias para o Ensino de Linguagens e suas Tecnologias"",""INDEFINIDA"",""ENSINO"",""MULTIDISCIPLINAR"",""40024016"",0,0,0,0,0,0,9,0,0,0,0,0,0,0,9"
"4982,2018,""PR"",""LONDRINA"",""SUL"",""40075010001P1"",""ARAUCÁRIA"",""IAPAR"",""Estadual"",""Agricultura Conservacionista"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""40075010"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1"
"4983,2018,""PR"",""LONDRINA"",""SUL"",""40075010001P1"",""DS"",""IAPAR"",""Estadual"",""Agricultura Conservacionista"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""40075010"",0,0,0,0,0,0,8,0,0,0,0,0,0,0,8"
"4984,2018,""PR"",""LONDRINA"",""SUL"",""40075010001P1"",""PNPD"",""IAPAR"",""Estadual"",""Agricultura Conservacionista"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""40075010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4985,2018,""PR"",""MARINGÁ"",""SUL"",NA,""DS"",""UEM"",""Estadual"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""40004015"",0,0,15,0,0,0,27,0,0,0,0,0,0,0,42"
"4986,2018,""PR"",""MARINGÁ"",""SUL"",NA,""ISF"",""UEM"",""Estadual"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""40004015"",1,1,0,0,0,0,0,0,0,0,0,0,6,0,8"
"4987,2018,""PR"",""MARINGÁ"",""SUL"",NA,""PELD-CAPES"",""UEM"",""Estadual"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""40004015"",0,0,0,3,0,0,0,0,0,0,0,0,0,0,3"
"4988,2018,""PR"",""MARINGÁ"",""SUL"",NA,""PROCAD"",""UEM"",""Estadual"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""40004015"",0,0,0,7,0,0,0,0,0,0,0,0,0,1,8"
"4989,2018,""PR"",""MARINGÁ"",""SUL"",NA,""PROSUP"",""UNICESUMAR"",""Privada"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""40030016"",0,0,0,0,0,0,6,0,0,0,0,0,0,0,6"
"4990,2018,""PR"",""MARINGÁ"",""SUL"",NA,""PROTAX-II"",""UEM"",""Estadual"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""40004015"",0,0,0,1,0,0,0,0,0,0,0,0,0,1,2"
"4991,2018,""PR"",""MARINGÁ"",""SUL"",NA,""ZIKA"",""UEM"",""Estadual"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""40004015"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4992,2018,""PR"",""MARINGÁ"",""SUL"",""33001014011P5"",""PROCAD"",""UEM"",""Estadual"",""FÍSICA"",""INDEFINIDA"",""FÍSICA"",""CIÊNCIAS EXATAS E DA TERRA"",""40004015"",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1"
"4993,2018,""PR"",""MARINGÁ"",""SUL"",""33003017007P0"",""INCT"",""UEM"",""Estadual"",""QUÍMICA"",""INDEFINIDA"",""QUÍMICA"",""CIÊNCIAS EXATAS E DA TERRA"",""40004015"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"4994,2018,""PR"",""MARINGÁ"",""SUL"",""40002012029P8"",""ARAUCÁRIA"",""UEM"",""Estadual"",""EDUCAÇÃO FÍSICA"",""INDEFINIDA"",""EDUCAÇÃO FÍSICA"",""CIÊNCIAS DA SAÚDE"",""40004015"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"4995,2018,""PR"",""MARINGÁ"",""SUL"",""40002012029P8"",""DS"",""UEM"",""Estadual"",""EDUCAÇÃO FÍSICA"",""INDEFINIDA"",""EDUCAÇÃO FÍSICA"",""CIÊNCIAS DA SAÚDE"",""40004015"",0,0,7,0,0,0,13,0,0,0,0,0,0,0,20"
"4996,2018,""PR"",""MARINGÁ"",""SUL"",""40002012041P8"",""ARAUCÁRIA"",""UEM"",""Estadual"",""Bioenergia - UEL - UEM - UEPG - UNICENTRO - UNIOESTE - UFPR"",""INDEFINIDA"",""INTERDISCIPLINAR"",""MULTIDISCIPLINAR"",""40004015"",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3"
"4997,2018,""PR"",""MARINGÁ"",""SUL"",""40002012041P8"",""DS"",""UEM"",""Estadual"",""Bioenergia - UEL - UEM - UEPG - UNICENTRO - UNIOESTE - UFPR"",""INDEFINIDA"",""INTERDISCIPLINAR"",""MULTIDISCIPLINAR"",""40004015"",0,0,0,0,0,0,5,0,0,0,0,0,0,0,5"
"4998,2018,""PR"",""MARINGÁ"",""SUL"",""40004015001P9"",""ARAUCÁRIA"",""UEM"",""Estadual"",""CIÊNCIAS BIOLÓGICAS (BIOLOGIA CELULAR)"",""INDEFINIDA"",""BIOLOGIA GERAL"",""CIÊNCIAS BIOLÓGICAS"",""40004015"",0,0,5,0,0,0,1,0,0,0,0,0,0,0,6"
"4999,2018,""PR"",""MARINGÁ"",""SUL"",""40004015001P9"",""DS"",""UEM"",""Estadual"",""CIÊNCIAS BIOLÓGICAS (BIOLOGIA CELULAR)"",""INDEFINIDA"",""BIOLOGIA GERAL"",""CIÊNCIAS BIOLÓGICAS"",""40004015"",0,0,37,0,0,0,11,0,0,0,0,0,0,0,48"
"5000,2018,""PR"",""MARINGÁ"",""SUL"",""40004015001P9"",""PNPD"",""UEM"",""Estadual"",""CIÊNCIAS BIOLÓGICAS (BIOLOGIA CELULAR)"",""INDEFINIDA"",""BIOLOGIA GERAL"",""CIÊNCIAS BIOLÓGICAS"",""40004015"",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4"
"5001,2018,""PR"",""MARINGÁ"",""SUL"",""40004015002P5"",""ARAUCÁRIA"",""UEM"",""Estadual"",""QUÍMICA"",""INDEFINIDA"",""QUÍMICA"",""CIÊNCIAS EXATAS E DA TERRA"",""40004015"",0,0,5,0,0,0,1,0,0,0,0,0,0,0,6"
"5002,2018,""PR"",""MARINGÁ"",""SUL"",""40004015002P5"",""PNPD"",""UEM"",""Estadual"",""QUÍMICA"",""INDEFINIDA"",""QUÍMICA"",""CIÊNCIAS EXATAS E DA TERRA"",""40004015"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"5003,2018,""PR"",""MARINGÁ"",""SUL"",""40004015002P5"",""PROEX"",""UEM"",""Estadual"",""QUÍMICA"",""INDEFINIDA"",""QUÍMICA"",""CIÊNCIAS EXATAS E DA TERRA"",""40004015"",0,0,51,0,0,0,33,0,0,0,0,0,0,0,84"
"5004,2018,""PR"",""MARINGÁ"",""SUL"",""40004015003P1"",""ARAUCÁRIA"",""UEM"",""Estadual"",""ENGENHARIA QUÍMICA"",""INDEFINIDA"",""ENGENHARIA QUÍMICA"",""ENGENHARIAS"",""40004015"",0,0,5,0,0,0,0,0,0,0,0,0,0,0,5"
"5005,2018,""PR"",""MARINGÁ"",""SUL"",""40004015003P1"",""PNPD"",""UEM"",""Estadual"",""ENGENHARIA QUÍMICA"",""INDEFINIDA"",""ENGENHARIA QUÍMICA"",""ENGENHARIAS"",""40004015"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"5006,2018,""PR"",""MARINGÁ"",""SUL"",""40004015003P1"",""PROCAD"",""UEM"",""Estadual"",""ENGENHARIA QUÍMICA"",""INDEFINIDA"",""ENGENHARIA QUÍMICA"",""ENGENHARIAS"",""40004015"",0,0,0,2,0,0,0,0,0,0,0,0,0,2,4"
"5007,2018,""PR"",""MARINGÁ"",""SUL"",""40004015003P1"",""PROEX"",""UEM"",""Estadual"",""ENGENHARIA QUÍMICA"",""INDEFINIDA"",""ENGENHARIA QUÍMICA"",""ENGENHARIAS"",""40004015"",0,0,35,0,0,0,26,0,0,0,0,0,0,0,61"
"5008,2018,""PR"",""MARINGÁ"",""SUL"",""40004015004P8"",""ARAUCÁRIA"",""UEM"",""Estadual"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""40004015"",0,0,3,0,0,0,0,0,0,0,0,0,0,0,3"
"5009,2018,""PR"",""MARINGÁ"",""SUL"",""40004015004P8"",""DS"",""UEM"",""Estadual"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""40004015"",0,0,15,0,0,0,17,0,0,0,0,0,0,0,32"
"5010,2018,""PR"",""MARINGÁ"",""SUL"",""40004015004P8"",""FAPERO"",""UEM"",""Estadual"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""40004015"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"5011,2018,""PR"",""MARINGÁ"",""SUL"",""40004015004P8"",""PNPD"",""UEM"",""Estadual"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""40004015"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"5012,2018,""PR"",""MARINGÁ"",""SUL"",""40004015005P4"",""PELD-CAPES"",""UEM"",""Estadual"",""ECOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS"",""INDEFINIDA"",""ECOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""40004015"",0,0,1,7,0,0,0,0,0,0,0,0,0,2,10"
"5013,2018,""PR"",""MARINGÁ"",""SUL"",""40004015005P4"",""PNPD"",""UEM"",""Estadual"",""ECOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS"",""INDEFINIDA"",""ECOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""40004015"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"5014,2018,""PR"",""MARINGÁ"",""SUL"",""40004015005P4"",""PROEX"",""UEM"",""Estadual"",""ECOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS"",""INDEFINIDA"",""ECOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""40004015"",0,0,28,0,0,0,28,0,0,0,0,0,0,0,56"
"5015,2018,""PR"",""MARINGÁ"",""SUL"",""40004015005P4"",""PROTAX-II"",""UEM"",""Estadual"",""ECOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS"",""INDEFINIDA"",""ECOLOGIA"",""CIÊNCIAS BIOLÓGICAS"",""40004015"",0,0,1,0,0,0,1,0,0,0,0,0,0,0,2"
"5016,2018,""PR"",""MARINGÁ"",""SUL"",""40004015006P0"",""PNPD"",""UEM"",""Estadual"",""ZOOTECNIA"",""INDEFINIDA"",""ZOOTECNIA"",""CIÊNCIAS AGRÁRIAS"",""40004015"",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3"
"5017,2018,""PR"",""MARINGÁ"",""SUL"",""40004015006P0"",""PROCAD"",""UEM"",""Estadual"",""ZOOTECNIA"",""INDEFINIDA"",""ZOOTECNIA"",""CIÊNCIAS AGRÁRIAS"",""40004015"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"5018,2018,""PR"",""MARINGÁ"",""SUL"",""40004015006P0"",""PROEX"",""UEM"",""Estadual"",""ZOOTECNIA"",""INDEFINIDA"",""ZOOTECNIA"",""CIÊNCIAS AGRÁRIAS"",""40004015"",0,0,45,0,0,0,17,0,0,0,0,0,0,0,62"
"5019,2018,""PR"",""MARINGÁ"",""SUL"",""40004015007P7"",""ARAUCÁRIA"",""UEM"",""Estadual"",""ECONOMIA"",""INDEFINIDA"",""ECONOMIA"",""CIÊNCIAS SOCIAIS APLICADAS"",""40004015"",0,0,4,0,0,0,0,0,0,0,0,0,0,0,4"
"5020,2018,""PR"",""MARINGÁ"",""SUL"",""40004015007P7"",""DS"",""UEM"",""Estadual"",""ECONOMIA"",""INDEFINIDA"",""ECONOMIA"",""CIÊNCIAS SOCIAIS APLICADAS"",""40004015"",0,0,6,0,0,0,15,0,0,0,0,0,0,0,21"
"5021,2018,""PR"",""MARINGÁ"",""SUL"",""40004015007P7"",""PNPD"",""UEM"",""Estadual"",""ECONOMIA"",""INDEFINIDA"",""ECONOMIA"",""CIÊNCIAS SOCIAIS APLICADAS"",""40004015"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"5022,2018,""PR"",""MARINGÁ"",""SUL"",""40004015008P3"",""ARAUCÁRIA"",""UEM"",""Estadual"",""AGRONOMIA"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""40004015"",0,0,2,0,0,0,1,0,0,0,0,0,0,0,3"
"5023,2018,""PR"",""MARINGÁ"",""SUL"",""40004015008P3"",""PNPD"",""UEM"",""Estadual"",""AGRONOMIA"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""40004015"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"5024,2018,""PR"",""MARINGÁ"",""SUL"",""40004015008P3"",""PROEX"",""UEM"",""Estadual"",""AGRONOMIA"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""40004015"",0,0,49,0,0,0,26,0,0,0,0,0,0,0,75"
