",""Ano"",""UF"",""Município"",""Região"",""Código Programa"",""Programa Fomento"",""IES"",""Status Jurídico"",""Programa"",""Área Avaliação"",""Área Conhecimento"",""Grande Área"",""Codigo IES"",""Coordenador Geral IsF"",""Coordenador Pedagógico IsF"",""DOUTORADO PLENO"",""Iniciação Científica"",""JOVENS TALENTOS - A"",""JOVENS TALENTOS - B"",""MESTRADO"",""MESTRADO PROFISSIONAL"",""PESQUISADOR VISITANTE ESPECIAL"",""PROF VISITANTE NACIONAL SÊNIOR"",""PROFESSOR VISITANTE EXTERIOR PLENO"",""PROFESSOR VISITANTE EXTERIOR SENIOR"",""Professor IsF"",""PÓS-DOUTORADO"",""Total Linha"""
"29,2018,""AC"",""RIO BRANCO"",""NORTE"",""33004153069P5"",""DINTER"",""UFAC"",""Federal"",""ESTUDOS LINGÜÍSTICOS"",""INDEFINIDA"",""LINGÜÍSTICA"",""LINGÜÍSTICA, LETRAS E ARTES"",""11001011"",0,0,8,0,0,0,0,0,0,0,0,0,0,0,8"
"30,2018,""AC"",""RIO BRANCO"",""NORTE"",""33009015035P2"",""DINTER"",""UFAC"",""Federal"",""ENFERMAGEM"",""INDEFINIDA"",""ENFERMAGEM"",""CIÊNCIAS DA SAÚDE"",""11001011"",0,0,14,0,0,0,0,0,0,0,0,0,0,0,14"
"31,2018,""AC"",""RIO BRANCO"",""NORTE"",""33112010001P5"",""NOVO PRODOUT"",""UFAC"",""Federal"",""CIÊNCIAS DA SAÚDE"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""11001011"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"32,2018,""AC"",""RIO BRANCO"",""NORTE"",""40005011010P4"",""NOVO PRODOUT"",""UFAC"",""Federal"",""GEOGRAFIA"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""11001011"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"33,2018,""AC"",""RIO BRANCO"",""NORTE"",""41005015001P8"",""NOVO PRODOUT"",""UFAC"",""Federal"",""CIÊNCIA JURÍDICA"",""INDEFINIDA"",""DIREITO"",""CIÊNCIAS SOCIAIS APLICADAS"",""11001011"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"34,2018,""AC"",""RIO BRANCO"",""NORTE"",""42007011004P2"",""NOVO PRODOUT"",""UFAC"",""Federal"",""CIÊNCIAS DA COMUNICAÇÃO"",""INDEFINIDA"",""COMUNICAÇÃO"",""CIÊNCIAS SOCIAIS APLICADAS"",""11001011"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"35,2018,""AL"",""ARAPIRACA"",""NORDESTE"",""26005018001P5"",""DS"",""UNEAL"",""Estadual"",""DINÂMICAS TERRITORIAIS E CULTURA"",""INDEFINIDA"",""INTERDISCIPLINAR"",""MULTIDISCIPLINAR"",""26005018"",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2"
"36,2018,""AL"",""ARAPIRACA"",""NORDESTE"",""40004015014P3"",""DINTER"",""UNEAL"",""Estadual"",""LETRAS"",""INDEFINIDA"",""LETRAS"",""LINGÜÍSTICA, LETRAS E ARTES"",""26005018"",0,0,12,0,0,0,0,0,0,0,0,0,0,0,12"
"37,2018,""AL"",""MACEIÓ"",""NORDESTE"",NA,""DS"",""UFAL"",""Federal"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""26001012"",0,0,9,0,0,0,19,0,0,0,0,0,0,0,28"
"38,2018,""AL"",""MACEIÓ"",""NORDESTE"",NA,""ISF"",""UFAL"",""Federal"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""26001012"",1,1,0,0,0,0,0,0,0,0,0,0,7,0,9"
"39,2018,""AL"",""MACEIÓ"",""NORDESTE"",NA,""PELD-CAPES"",""UFAL"",""Federal"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""26001012"",0,0,0,7,0,0,0,0,0,0,0,0,0,1,8"
"40,2018,""AL"",""MACEIÓ"",""NORDESTE"",NA,""PROCAD"",""UFAL"",""Federal"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""26001012"",0,0,0,16,0,0,0,0,0,0,0,0,0,0,16"
"41,2018,""AL"",""MACEIÓ"",""NORDESTE"",NA,""PRÓ-ALERTAS"",""UFAL"",""Federal"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""26001012"",0,0,0,1,0,0,0,0,0,0,0,0,0,1,2"
"42,2018,""AL"",""MACEIÓ"",""NORDESTE"",NA,""ZIKA"",""UFAL"",""Federal"",NA,""INDEFINIDA"",""Grande Area Não Informada"",""Grande Area Não Informada"",""26001012"",0,0,0,2,0,0,0,0,0,0,0,0,0,0,2"
"43,2018,""AL"",""MACEIÓ"",""NORDESTE"",""22003010017P5"",""DS"",""UFAL"",""Federal"",""BIOTECNOLOGIA - Rede RENORBIO"",""INDEFINIDA"",""BIOTECNOLOGIA"",""MULTIDISCIPLINAR"",""26001012"",0,0,17,0,0,0,0,0,0,0,0,0,0,0,17"
"44,2018,""AL"",""MACEIÓ"",""NORDESTE"",""22003010017P5"",""FAPEALII"",""UFAL"",""Federal"",""BIOTECNOLOGIA - Rede RENORBIO"",""INDEFINIDA"",""BIOTECNOLOGIA"",""MULTIDISCIPLINAR"",""26001012"",0,0,16,0,0,0,0,0,0,0,0,0,0,0,16"
"45,2018,""AL"",""MACEIÓ"",""NORDESTE"",""22003010017P5"",""PNPD"",""UFAL"",""Federal"",""BIOTECNOLOGIA - Rede RENORBIO"",""INDEFINIDA"",""BIOTECNOLOGIA"",""MULTIDISCIPLINAR"",""26001012"",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4"
"46,2018,""AL"",""MACEIÓ"",""NORDESTE"",""23003014011P0"",""NOVO PRODOUT"",""IFAL"",""Federal"",""FITOTECNIA"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""26002019"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
